ID,lon,lat
184,106.808974537,-6.7538704786
185,106.813486936,-6.7539093329
186,106.817999361,-6.75394814563
187,106.822511813,-6.7539869168
188,106.827024291,-6.75402564641
189,106.831536796,-6.75406433445
190,106.836049327,-6.75410298092
191,106.840561885,-6.75414158583
192,106.845074469,-6.75418014917
193,106.849587079,-6.75421867094
194,106.854099716,-6.75425715114
195,106.858612379,-6.75429558977
196,106.863125068,-6.75433398682
197,106.867637784,-6.7543723423
198,106.872150525,-6.75441065621
199,106.876663293,-6.75444892853
200,106.881176087,-6.75448715928
201,106.885688907,-6.75452534845
202,106.890201754,-6.75456349604
203,106.894714626,-6.75460160205
204,106.899227524,-6.75463966648
205,106.903740448,-6.75467768932
206,106.908253399,-6.75471567058
207,106.912766375,-6.75475361025
208,106.917279377,-6.75479150833
209,106.921792405,-6.75482936483
210,106.926305459,-6.75486717973
211,106.930818539,-6.75490495305
212,106.935331644,-6.75494268477
213,106.939844776,-6.7549803749
214,106.944357933,-6.75501802343
215,106.948871116,-6.75505563037
216,106.953384324,-6.75509319571
217,106.957897558,-6.75513071946
218,106.962410818,-6.75516820161
219,106.966924103,-6.75520564215
220,106.971437414,-6.7552430411
221,106.466154087,-6.74628725377
222,106.470664344,-6.74632923481
223,106.475174629,-6.74637117442
224,106.479684944,-6.74641307258
225,106.484195287,-6.74645492931
226,106.488705658,-6.74649674459
227,106.493216058,-6.74653851843
228,106.497726487,-6.74658025082
229,106.502236944,-6.74662194177
230,106.50674743,-6.74666359127
231,106.511257944,-6.74670519932
232,106.515768487,-6.74674676592
233,106.520279058,-6.74678829107
234,106.524789657,-6.74682977476
235,106.529300285,-6.746871217
236,106.533810941,-6.74691261779
237,106.538321625,-6.74695397712
238,106.542832338,-6.74699529499
239,106.547343079,-6.7470365714
240,106.596963086,-6.74748787527
241,106.601474163,-6.74752865407
242,106.605985269,-6.7475693914
243,106.610496402,-6.74761008725
244,106.615007563,-6.74765074162
245,106.619518752,-6.74769135451
246,106.624029969,-6.74773192593
247,106.628541214,-6.74777245586
248,106.633052486,-6.7478129443
249,106.637563786,-6.74785339127
250,106.642075113,-6.74789379674
251,106.646586469,-6.74793416073
252,106.651097851,-6.74797448324
253,106.655609262,-6.74801476425
254,106.772915513,-6.74904750377
255,106.777427657,-6.7490866641
256,106.781939828,-6.74912578291
257,106.786452025,-6.7491648602
258,106.790964249,-6.74920389596
259,106.7954765,-6.74924289019
260,106.799988777,-6.7492818429
261,106.804501081,-6.74932075407
262,106.809013412,-6.74935962371
263,106.813525769,-6.74939845182
264,106.818038153,-6.7494372384
265,106.822550563,-6.74947598345
266,106.827063,-6.74951468695
267,106.831575463,-6.74955334892
268,106.836087953,-6.74959196936
269,106.840600469,-6.74963054825
270,106.845113012,-6.7496690856
271,106.84962558,-6.74970758142
272,106.854138176,-6.74974603568
273,106.858650797,-6.74978444841
274,106.863163445,-6.74982281959
275,106.867676118,-6.74986114922
276,106.872188819,-6.74989943731
277,106.876701545,-6.74993768384
278,106.881214297,-6.74997588883
279,106.885727076,-6.75001405227
280,106.89023988,-6.75005217415
281,106.894752711,-6.75009025448
282,106.899265568,-6.75012829326
283,106.903778451,-6.75016629048
284,106.908291359,-6.75020424614
285,106.912804294,-6.75024216024
286,106.917317254,-6.75028003279
287,106.921830241,-6.75031786377
288,106.926343253,-6.7503556532
289,106.930856291,-6.75039340106
290,106.935369355,-6.75043110735
291,106.939882445,-6.75046877208
292,106.94439556,-6.75050639525
293,106.948908702,-6.75054397685
294,106.953421869,-6.75058151687
295,106.957935061,-6.75061901533
296,106.962448279,-6.75065647222
297,106.966961523,-6.75069388754
298,106.971474792,-6.75073126128
299,106.466196088,-6.74177846954
300,106.470706303,-6.74182042227
301,106.475216547,-6.7418623336
302,106.47972682,-6.74190420351
303,106.484237122,-6.74194603201
304,106.488747452,-6.7419878191
305,106.493257811,-6.74202956477
306,106.497768198,-6.74207126902
307,106.502278614,-6.74211293186
308,106.506789058,-6.74215455327
309,106.511299531,-6.74219613327
310,106.515810032,-6.74223767184
311,106.520320561,-6.74227916899
312,106.524831119,-6.74232062471
313,106.529341706,-6.74236203901
314,106.53385232,-6.74240341188
315,106.538362963,-6.74244474332
316,106.542873635,-6.74248603333
317,106.547384334,-6.74252728191
318,106.551895062,-6.74256848905
319,106.587981896,-6.74289665451
320,106.592492876,-6.7429374887
321,106.597003884,-6.74297828146
322,106.601514921,-6.74301903276
323,106.606025985,-6.74305974262
324,106.610537077,-6.74310041103
325,106.615048196,-6.74314103799
326,106.619559344,-6.74318162349
327,106.624070519,-6.74322216755
328,106.628581722,-6.74326267015
