ID,lon,lat
159,120.668273165,30.6215170618
160,120.673415715,30.6211309754
161,120.678558166,30.6207446901
162,120.683700518,30.6203582057
163,120.688842769,30.6199715224
164,120.693984922,30.6195846402
165,120.699126974,30.619197559
166,120.704268927,30.6188102789
167,120.709410781,30.6184227999
168,120.714552534,30.6180351219
169,120.719694188,30.6176472451
170,120.724835742,30.6172591695
171,120.729977196,30.6168708949
172,120.73511855,30.6164824216
173,120.740259805,30.6160937494
174,120.745400959,30.6157048783
175,120.786526585,30.6125867547
176,120.791666837,30.612196095
177,121.043415053,30.5928106716
178,121.048550218,30.5924100956
179,121.053685279,30.5920093216
180,121.099896193,30.5883934497
181,121.105030222,30.5879906968
182,120.617286281,30.6298152072
183,120.622430051,30.6294310439
184,120.627573722,30.6290466814
185,120.632717294,30.6286621197
186,120.637860767,30.628277359
187,120.643004141,30.627892399
188,120.648147415,30.62750724
189,120.653290591,30.6271218819
190,120.658433667,30.6267363247
191,120.663576644,30.6263505684
192,120.668719522,30.6259646131
193,120.673862301,30.6255784587
194,120.67900498,30.6251921053
195,120.684147559,30.6248055529
196,120.689290039,30.6244188014
197,120.69443242,30.624031851
198,120.699574701,30.6236447016
199,120.704716882,30.6232573533
200,120.709858964,30.622869806
201,120.715000945,30.6224820598
202,120.720142827,30.6220941147
203,120.72528461,30.6217059706
204,120.730426292,30.6213176277
205,120.735567874,30.6209290859
206,120.740709356,30.6205403452
207,120.745850739,30.6201514057
208,120.750992021,30.6197622673
209,120.781837608,30.6174232625
210,120.786978188,30.6170327327
211,120.792118668,30.6166420042
212,120.848657296,30.6123308789
213,120.853796566,30.6119377668
214,120.858935734,30.6115444562
215,121.043878028,30.5972531668
216,121.049013419,30.5968525202
217,121.054148708,30.5964516756
218,121.059283894,30.5960506331
219,121.064418976,30.5956493926
220,121.069553956,30.5952479541
221,121.095227304,30.5932377929
222,121.105495919,30.5924323433
223,120.622874451,30.633879197
224,120.62801835,30.6334947668
225,120.633162151,30.6331101374
226,120.638305852,30.6327253088
227,120.643449455,30.632340281
228,120.648592958,30.6319550542
229,120.653736362,30.6315696281
230,120.658879667,30.631184003
231,120.664022872,30.6307981788
232,120.669165978,30.6304121554
233,120.674308985,30.630025933
234,120.679451893,30.6296395116
235,120.684594701,30.629252891
236,120.689737409,30.6288660715
237,120.694880018,30.6284790529
238,120.700022527,30.6280918353
239,120.705164936,30.6277044188
240,120.710307246,30.6273168032
241,120.715449456,30.6269289887
242,120.720591566,30.6265409752
243,120.725733577,30.6261527628
244,120.730875487,30.6257643514
245,120.736017298,30.6253757412
246,120.741159008,30.624986932
247,120.746300618,30.624597924
248,120.751442129,30.6242087171
249,120.756583539,30.6238193114
250,120.782289085,30.6218693003
251,120.787429893,30.6214787017
252,120.7925706,30.6210879044
253,120.797711207,30.6206969083
254,120.838832436,30.6175617866
255,120.843972135,30.6171690025
256,120.849111734,30.6167760198
257,120.854251231,30.6163828385
258,120.859390628,30.6159894586
259,120.864529923,30.6155958801
260,120.869669116,30.6152021031
261,120.874808209,30.6148081276
262,120.8799472,30.6144139536
263,120.921055474,30.6112534164
264,120.926193551,30.6108574563
265,121.044341105,30.6016956525
266,121.049476724,30.6012949354
267,121.05461224,30.6008940203
268,121.059747652,30.6004929071
269,121.064882962,30.600091596
270,121.070018168,30.5996900868
271,121.075153271,30.5992883797
272,121.080288271,30.5988864746
273,121.085423167,30.5984843716
274,121.090557961,30.5980820706
275,121.09569265,30.5976795718
276,121.100827236,30.597276875
277,121.105961719,30.5968739803
278,121.111096098,30.5964708878
279,121.116230374,30.5960675974
280,120.628463078,30.6379428432
281,120.633607107,30.6375581461
282,120.638751037,30.6371732497
283,120.643894868,30.6367881541
284,120.6490386,30.6364028594
285,120.654182232,30.6360173655
286,120.659325765,30.6356316724
287,120.664469199,30.6352457802
288,120.669612534,30.6348596889
289,120.674755769,30.6344733985
290,120.679898905,30.6340869089
291,120.685041941,30.6337002203
292,120.690184878,30.6333133326
293,120.695327715,30.6329262458
294,120.700470453,30.6325389601
295,120.705613091,30.6321514752
296,120.710755629,30.6317637914
297,120.715898067,30.6313759086
298,120.721040405,30.6309878267
299,120.726182644,30.6305995459
300,120.731324783,30.6302110662
301,120.736466821,30.6298223875
302,120.74160876,30.6294335099
303,120.746750598,30.6290444333
304,120.751892337,30.6286551579
305,120.757033975,30.6282656835
306,120.762175513,30.6278760103
307,120.782740661,30.626315329
308,120.787881697,30.6259246616
309,120.793022633,30.6255337955
310,120.798163467,30.6251427305
311,120.834146491,30.6223997114
312,120.83928652,30.6220070567
313,120.844426447,30.6216142034
314,120.849566273,30.6212211515
315,120.854705998,30.6208279009
316,120.859845622,30.6204344518
317,120.864985145,30.620040804
318,120.870124567,30.6196469577
319,120.875263887,30.6192529128
320,120.880403106,30.6188586693
321,120.885542223,30.6184642273
322,120.890681239,30.6180695868
323,120.895820153,30.6176747478
324,120.900958966,30.6172797103
325,120.906097677,30.6168844743
326,120.911236287,30.6164890398
